latitude,longitude,elevation,timezone,start_date,end_date
24.959335,117.734252,,Asia/Shanghai,2014-01-01,2021-12-31
25.812396,118.037088,,Asia/Shanghai,2014-01-01,2021-12-31
26.163938,118.143803,,Asia/Shanghai,2014-01-01,2021-12-31
26.236811,118.248163,,Asia/Shanghai,2014-01-01,2021-12-31
25.729215,118.741773,,Asia/Shanghai,2014-01-01,2021-12-31
24.608623,118.551002,,Asia/Shanghai,2014-01-01,2021-12-31
26.158945,117.973587,,Asia/Shanghai,2014-01-01,2021-12-31
26.101026,118.250299,,Asia/Shanghai,2014-01-01,2021-12-31
26.373246,118.226852,,Asia/Shanghai,2014-01-01,2021-12-31
26.050916,117.944879,,Asia/Shanghai,2014-01-01,2021-12-31
26.118197,118.040521,,Asia/Shanghai,2014-01-01,2021-12-31
25.912927,118.203372,,Asia/Shanghai,2014-01-01,2021-12-31
26.659707,119.520638,,Asia/Shanghai,2014-01-01,2021-12-31
25.147126,117.730005,,Asia/Shanghai,2014-01-01,2021-12-31
26.233467,117.944167,,Asia/Shanghai,2014-01-01,2021-12-31
26.047754,118.075774,,Asia/Shanghai,2014-01-01,2021-12-31
25.581172,118.195199,,Asia/Shanghai,2014-01-01,2021-12-31
25.609204,117.699657,,Asia/Shanghai,2014-01-01,2021-12-31
25.766511,117.706147,,Asia/Shanghai,2014-01-01,2021-12-31
25.737501,118.258732,,Asia/Shanghai,2014-01-01,2021-12-31
25.602156,118.01296,,Asia/Shanghai,2014-01-01,2021-12-31
25.896732,117.756669,,Asia/Shanghai,2014-01-01,2021-12-31
25.878727,117.907772,,Asia/Shanghai,2014-01-01,2021-12-31
25.121938,118.454767,,Asia/Shanghai,2014-01-01,2021-12-31
26.090874,117.822546,,Asia/Shanghai,2014-01-01,2021-12-31
25.801456,117.901233,,Asia/Shanghai,2014-01-01,2021-12-31
27.123778,117.111651,,Asia/Shanghai,2014-01-01,2021-12-31
25.670894,118.115378,,Asia/Shanghai,2014-01-01,2021-12-31
25.987843,117.728249,,Asia/Shanghai,2014-01-01,2021-12-31
25.819582,117.71986,,Asia/Shanghai,2014-01-01,2021-12-31
25.925871,118.059996,,Asia/Shanghai,2014-01-01,2021-12-31
25.272237,118.318869,,Asia/Shanghai,2014-01-01,2021-12-31
25.937778,118.043611,,Asia/Shanghai,2014-01-01,2021-12-31
25.876182,118.059273,,Asia/Shanghai,2014-01-01,2021-12-31
26.172913,118.198875,,Asia/Shanghai,2014-01-01,2021-12-31
26.176539,118.195809,,Asia/Shanghai,2014-01-01,2021-12-31
26.168153,118.213203,,Asia/Shanghai,2014-01-01,2021-12-31
26.310587,118.205286,,Asia/Shanghai,2014-01-01,2021-12-31
26.33004,118.751309,,Asia/Shanghai,2014-01-01,2021-12-31
26.332405,118.746309,,Asia/Shanghai,2014-01-01,2021-12-31
26.229407,118.875231,,Asia/Shanghai,2014-01-01,2021-12-31
26.228677,118.872751,,Asia/Shanghai,2014-01-01,2021-12-31
26.165014,117.53526,,Asia/Shanghai,2014-01-01,2021-12-31
25.449676,119.09989,,Asia/Shanghai,2014-01-01,2021-12-31
26.769641,118.251177,,Asia/Shanghai,2014-01-01,2021-12-31
26.851964,118.649606,,Asia/Shanghai,2014-01-01,2021-12-31
26.428275,118.65634,,Asia/Shanghai,2014-01-01,2021-12-31
26.576569,118.925616,,Asia/Shanghai,2014-01-01,2021-12-31
27.466707,119.393555,,Asia/Shanghai,2014-01-01,2021-12-31
26.418007,117.873377,,Asia/Shanghai,2014-01-01,2021-12-31
26.57995,118.029519,,Asia/Shanghai,2014-01-01,2021-12-31
27.021435,118.300106,,Asia/Shanghai,2014-01-01,2021-12-31
25.262453,118.051604,,Asia/Shanghai,2014-01-01,2021-12-31
27.790609,118.544978,,Asia/Shanghai,2014-01-01,2021-12-31
27.796727,118.302185,,Asia/Shanghai,2014-01-01,2021-12-31
25.05648,116.597248,,Asia/Shanghai,2014-01-01,2021-12-31
27.266998,119.031945,,Asia/Shanghai,2014-01-01,2021-12-31
27.456351,118.379429,,Asia/Shanghai,2014-01-01,2021-12-31
27.757573,117.839719,,Asia/Shanghai,2014-01-01,2021-12-31
27.750811,117.675318,,Asia/Shanghai,2014-01-01,2021-12-31
27.388931,117.842239,,Asia/Shanghai,2014-01-01,2021-12-31
24.950551,118.670991,,Asia/Shanghai,2014-01-01,2021-12-31
26.904436,119.019598,,Asia/Shanghai,2014-01-01,2021-12-31
27.458186,118.566997,,Asia/Shanghai,2014-01-01,2021-12-31
25.665043,117.864581,,Asia/Shanghai,2014-01-01,2021-12-31
27.338279,118.704008,,Asia/Shanghai,2014-01-01,2021-12-31
27.166212,118.633015,,Asia/Shanghai,2014-01-01,2021-12-31
26.773865,117.943978,,Asia/Shanghai,2014-01-01,2021-12-31
26.966151,117.899634,,Asia/Shanghai,2014-01-01,2021-12-31
25.980564,119.414868,,Asia/Shanghai,2014-01-01,2021-12-31
24.575768,118.267902,,Asia/Shanghai,2014-01-01,2021-12-31
23.714165,117.170417,,Asia/Shanghai,2014-01-01,2021-12-31
26.471811,118.221743,,Asia/Shanghai,2014-01-01,2021-12-31
26.02561,117.277444,,Asia/Shanghai,2014-01-01,2021-12-31
27.054752,120.203784,,Asia/Shanghai,2014-01-01,2021-12-31
25.787835,119.40066,,Asia/Shanghai,2014-01-01,2021-12-31
25.730601,117.123649,,Asia/Shanghai,2014-01-01,2021-12-31
25.996905,117.357748,,Asia/Shanghai,2014-01-01,2021-12-31
26.218313,117.231986,,Asia/Shanghai,2014-01-01,2021-12-31
26.35773,117.189775,,Asia/Shanghai,2014-01-01,2021-12-31
26.42708,117.457616,,Asia/Shanghai,2014-01-01,2021-12-31
26.575351,117.664485,,Asia/Shanghai,2014-01-01,2021-12-31
26.239202,117.795689,,Asia/Shanghai,2014-01-01,2021-12-31
26.407706,117.795213,,Asia/Shanghai,2014-01-01,2021-12-31
26.545213,117.974059,,Asia/Shanghai,2014-01-01,2021-12-31
27.359264,118.661988,,Asia/Shanghai,2014-01-01,2021-12-31
25.126725,118.533289,,Asia/Shanghai,2014-01-01,2021-12-31
27.388458,117.140134,,Asia/Shanghai,2014-01-01,2021-12-31
27.558438,117.328856,,Asia/Shanghai,2014-01-01,2021-12-31
27.353863,117.472403,,Asia/Shanghai,2014-01-01,2021-12-31
27.492624,117.308539,,Asia/Shanghai,2014-01-01,2021-12-31
26.932051,117.770523,,Asia/Shanghai,2014-01-01,2021-12-31
27.081068,117.893859,,Asia/Shanghai,2014-01-01,2021-12-31
26.726779,117.46508,,Asia/Shanghai,2014-01-01,2021-12-31
26.894125,117.429671,,Asia/Shanghai,2014-01-01,2021-12-31
25.920205,117.808281,,Asia/Shanghai,2014-01-01,2021-12-31
26.532244,118.753184,,Asia/Shanghai,2014-01-01,2021-12-31
26.035343,117.132196,,Asia/Shanghai,2014-01-01,2021-12-31
26.04217,117.135464,,Asia/Shanghai,2014-01-01,2021-12-31
26.433358,117.935471,,Asia/Shanghai,2014-01-01,2021-12-31
26.713655,117.142938,,Asia/Shanghai,2014-01-01,2021-12-31
27.813073,117.435503,,Asia/Shanghai,2014-01-01,2021-12-31
26.876176,118.29027,,Asia/Shanghai,2014-01-01,2021-12-31
26.465294,116.742654,,Asia/Shanghai,2014-01-01,2021-12-31
26.35042,116.846347,,Asia/Shanghai,2014-01-01,2021-12-31
26.787382,117.807642,,Asia/Shanghai,2014-01-01,2021-12-31
26.265707,116.649769,,Asia/Shanghai,2014-01-01,2021-12-31
26.215813,116.713382,,Asia/Shanghai,2014-01-01,2021-12-31
26.187907,116.793236,,Asia/Shanghai,2014-01-01,2021-12-31
26.269212,116.946522,,Asia/Shanghai,2014-01-01,2021-12-31
25.807089,116.556302,,Asia/Shanghai,2014-01-01,2021-12-31
25.937066,116.541931,,Asia/Shanghai,2014-01-01,2021-12-31
26.063069,116.615722,,Asia/Shanghai,2014-01-01,2021-12-31
25.981271,116.732145,,Asia/Shanghai,2014-01-01,2021-12-31
25.713398,116.749528,,Asia/Shanghai,2014-01-01,2021-12-31
25.801593,116.718392,,Asia/Shanghai,2014-01-01,2021-12-31
25.693258,116.74712,,Asia/Shanghai,2014-01-01,2021-12-31
26.040005,117.111756,,Asia/Shanghai,2014-01-01,2021-12-31
25.916898,117.009655,,Asia/Shanghai,2014-01-01,2021-12-31
26.133627,117.07982,,Asia/Shanghai,2014-01-01,2021-12-31
